date,ticker,price
2024-01-01,AAPL,147.9471583350695
2024-01-02,AAPL,146.8857016236884
2024-01-03,AAPL,146.27920541451647
2024-01-04,AAPL,146.59956698667077
2024-01-05,AAPL,147.07775561065603
2024-01-06,AAPL,147.25167474136293
2024-01-07,AAPL,149.072847546801
2024-01-08,AAPL,150.70849048397412
2024-01-09,AAPL,151.32972624260418
2024-01-10,AAPL,150.91595041930532
2024-01-11,AAPL,151.95628634014196
2024-01-12,AAPL,153.57242050111827
2024-01-13,AAPL,153.71157894640356
2024-01-14,AAPL,153.28327221396566
2024-01-15,AAPL,150.80859637906707
2024-01-16,AAPL,149.3405416032337
2024-01-17,AAPL,148.68643518738367
2024-01-18,AAPL,148.07221987715909
2024-01-19,AAPL,148.13011145185783
2024-01-20,AAPL,149.46630203569006
