date,ticker,price
2024-01-01,AAPL,150.7295112451478
2024-01-02,AAPL,149.89912819165798
2024-01-03,AAPL,149.21270838853928
2024-01-04,AAPL,148.59292689022377
2024-01-05,AAPL,150.9642709412816
2024-01-06,AAPL,150.1555141445897
2024-01-07,AAPL,149.91754918378922
2024-01-08,AAPL,148.5007187177791
2024-01-09,AAPL,147.7637436664561
2024-01-10,AAPL,148.00417726777832
2024-01-11,AAPL,148.03659900491203
2024-01-12,AAPL,148.8857547782811
2024-01-13,AAPL,150.01317862460618
2024-01-14,AAPL,148.85382689651277
2024-01-15,AAPL,149.17498447484908
2024-01-16,AAPL,149.09111682012838
2024-01-17,AAPL,149.88006976078364
2024-01-18,AAPL,148.40247526268215
2024-01-19,AAPL,149.1057025157784
2024-01-20,AAPL,148.8926537441784
